City,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
22,Rikitea,PF,74.08,clear sky,-23.1203,-134.9692,People ThankYou
23,Jamestown,US,74.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
56,Igrim,RU,74.5,broken clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
88,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
155,Fuldatal,DE,74.59,clear sky,51.3833,9.5667,Hotel Roter Kater
190,Spencer,US,74.52,clear sky,43.1414,-95.1444,Reston Inn & Suites
191,Oxilithos,GR,74.71,clear sky,38.5833,24.1167,Hotel Stomio Beach
270,Ciudad Bolivar,VE,75.0,overcast clouds,8.1222,-63.5497,Hotel Edi
443,Panaba,MX,74.08,few clouds,21.2833,-88.2667,Hotel Don Fernando
453,Khorinsk,RU,74.16,overcast clouds,52.1657,109.7726,Uda
470,Kigoma,TZ,74.77,scattered clouds,-4.8769,29.6267,MJI Mwema Lodge
484,Zaysan,KZ,74.8,few clouds,47.4667,84.8667,Ерлан үй
539,Xuddur,SO,74.57,broken clouds,4.1213,43.8894,Banjanay Hotel
590,Coari,BR,74.68,few clouds,-4.085,-63.1414,Dellrey Hotel Center
618,Tarasovskiy,RU,74.86,scattered clouds,48.7292,40.3636,Ariel-D
687,Kamaishi,JP,74.26,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
702,Carutapera,BR,74.3,overcast clouds,-1.195,-46.02,Lidera
